Date,CDIAnnual,Master
02/01/2013,0.069500676,-0.00155875
02/04/2013,0.069500676,-0.003719895
02/05/2013,0.069600374,-0.000673678
02/06/2013,0.069600374,0.003698621
02/07/2013,0.069600374,0.004199323
02/08/2013,0.069500676,0.013974429
02/13/2013,0.069500676,-0.009096095
02/14/2013,0.069500676,-0.000731538
02/15/2013,0.069400987,0.000885791
02/18/2013,0.069400987,-0.004122128
02/19/2013,0.069400987,0.005142049
02/20/2013,0.069301307,-0.00070675
02/21/2013,0.069500676,-0.003206995
02/22/2013,0.069500676,-0.009718648
02/25/2013,0.069600374,0.018568229
02/26/2013,0.06999926,-0.014133044
02/27/2013,0.069799798,-0.001597573
02/28/2013,0.069799798,-0.0080071
03/01/2013,0.069799798,-0.01194599
03/04/2013,0.069799798,-0.006428066
03/05/2013,0.069899524,0.000597723
03/06/2013,0.069899524,0.001510948
03/07/2013,0.069899524,-0.001693204
03/08/2013,0.069899524,0.009970726
03/11/2013,0.069899524,0.015587754
03/12/2013,0.069899524,-0.015628199
03/13/2013,0.069899524,0.010919405
03/14/2013,0.069899524,-0.00101433
03/15/2013,0.069899524,-0.01266738
03/18/2013,0.069899524,-0.004067744
03/19/2013,0.069899524,0.000205069
03/20/2013,0.069899524,-0.006225646
03/21/2013,0.069899524,0.006510991
03/22/2013,0.069899524,0.00163692
03/25/2013,0.069899524,-0.00208589
03/26/2013,0.069899524,-0.002367685
03/27/2013,0.069899524,0.002072655
03/28/2013,0.069899524,-0.014177272
04/01/2013,0.070099004,0.003198948
04/02/2013,0.070198758,0.000770429
04/03/2013,0.070198758,0.001987325
04/04/2013,0.070099004,0.003138616
04/05/2013,0.070099004,-0.005253483
04/08/2013,0.070099004,-0.013661398
04/09/2013,0.070099004,-0.000241915
04/10/2013,0.070099004,-0.003367551
04/11/2013,0.070099004,-0.003575682
04/12/2013,0.070099004,0.00269192
04/15/2013,0.070099004,0.027909697
04/16/2013,0.070099004,0.002299188
04/17/2013,0.06999926,0.002378698
04/18/2013,0.06999926,-0.003111482
04/19/2013,0.072401091,-0.048616021
04/22/2013,0.072401091,-0.001713839
04/23/2013,0.072401091,-0.004929171
04/24/2013,0.072401091,-0.000235563
04/25/2013,0.072401091,-0.003871622
04/26/2013,0.072401091,-0.000643795
04/29/2013,0.072301133,0.002031534
04/30/2013,0.072301133,0.001793398
05/02/2013,0.072301133,-0.000160911
05/03/2013,0.072301133,-0.003748029
05/06/2013,0.072301133,-0.003677136
05/07/2013,0.072401091,0.001751791
05/08/2013,0.072401091,-0.000964169
05/09/2013,0.072301133,-0.003278568
05/10/2013,0.072401091,-0.001118841
05/13/2013,0.072301133,-0.000796342
05/14/2013,0.072201184,-0.000322878
05/15/2013,0.072201184,-0.000644193
05/16/2013,0.072201184,-0.003176073
05/17/2013,0.072201184,-0.000198339
05/20/2013,0.072201184,0.003032448
05/21/2013,0.072201184,-0.00115091
05/22/2013,0.072201184,-0.001380887
05/23/2013,0.072201184,0.002191466
05/24/2013,0.072201184,-0.006325079
05/27/2013,0.072201184,0.003002914
05/28/2013,0.072201184,0.007720033
05/29/2013,0.072201184,0.008118537
05/31/2013,0.072201184,0.032531784
06/03/2013,0.077199165,0.059240108
06/04/2013,0.077199165,-0.013751081
06/05/2013,0.077199165,8.76101E-06
06/06/2013,0.077199165,0.001896527
06/07/2013,0.077199165,0.002822913
06/10/2013,0.077199165,0.009173334
06/11/2013,0.077199165,0.003968187
06/12/2013,0.077199165,0.008890792
06/13/2013,0.077199165,0.007110151
06/14/2013,0.077199165,-0.005684408
06/17/2013,0.077199165,0.009128616
06/18/2013,0.077199165,0.022469424
06/19/2013,0.077199165,0.000918795
06/20/2013,0.077199165,0.009018033
06/21/2013,0.077199165,0.028981048
06/24/2013,0.077199165,0.013593157
06/25/2013,0.077199165,-0.022627498
06/26/2013,0.077199165,-0.005979206
06/27/2013,0.077199165,-0.005089791
06/28/2013,0.077199165,0.000111499
